template,test_image,score
template_11,template_10,0.5618728399276733
template_11,template_11,0.8689078092575073
template_12,template_00,0.20809349417686462
template_12,template_01,0.19082261621952057
template_12,template_02,0.19867567718029022
template_12,template_03,0.19772963225841522
template_12,template_04,0.19620823860168457
template_12,template_05,0.21332822740077972
template_12,template_06,0.18830445408821106
template_12,template_07,0.18830445408821106
template_12,template_08,0.20403949916362762
template_12,template_09,0.36944514513015747
template_12,template_10,0.4529327154159546
template_12,template_11,0.6148081421852112
template_12,template_12,0.8870556354522705
template_13,template_00,0.17656627297401428
template_13,template_01,0.18121175467967987
template_13,template_02,0.17569805681705475
template_13,template_03,0.17494162917137146
template_13,template_04,0.18581892549991608
template_13,template_05,0.18609587848186493
template_13,template_06,0.18609587848186493
template_13,template_07,0.18609587848186493
template_13,template_08,0.18180769681930542
template_13,template_09,0.28899744153022766
template_13,template_10,0.3498026430606842
template_13,template_11,0.4899144768714905
template_13,template_12,0.6242826581001282
template_13,template_13,0.8748819828033447
template_14,template_00,0.16718584299087524
template_14,template_01,0.17685097455978394
template_14,template_02,0.1947140246629715
template_14,template_03,0.20994682610034943
template_14,template_04,0.169326052069664
template_14,template_05,0.16329540312290192
template_14,template_06,0.20994679629802704
template_14,template_07,0.20486919581890106
template_14,template_08,0.19235701858997345
template_14,template_09,0.2660706043243408
template_14,template_10,0.3573359251022339
template_14,template_11,0.4320322573184967
template_14,template_12,0.5365914702415466
template_14,template_13,0.5900623202323914
template_14,template_14,0.8301449418067932
template_15,template_00,0.15947680175304413
template_15,template_01,0.16878779232501984
template_15,template_02,0.1656694859266281
template_15,template_03,0.1662396937608719
template_15,template_04,0.16586165130138397
template_15,template_05,0.16923078894615173
template_15,template_06,0.1589881181716919
template_15,template_07,0.17868411540985107
template_15,template_08,0.19151389598846436
template_15,template_09,0.2575361728668213
template_15,template_10,0.31244996190071106
template_15,template_11,0.4211665391921997
template_15,template_12,0.5188152194023132
template_15,template_13,0.5492209792137146
template_15,template_14,0.6131687164306641
template_15,template_15,0.8221853375434875
template_16,template_00,0.18480077385902405
