template,test_image,score
template_13,template_04,0.18515901267528534
template_13,template_05,0.1859348714351654
template_13,template_06,0.166629821062088
template_13,template_07,0.16413787007331848
template_13,template_08,0.16371332108974457
template_13,template_09,0.17171360552310944
template_13,template_10,0.1872865855693817
template_13,template_11,0.183664008975029
template_13,template_12,0.21691778302192688
template_13,template_13,0.8232243061065674
template_14,template_01,0.1508849710226059
template_14,template_02,0.15451136231422424
template_14,template_03,0.16227908432483673
template_14,template_04,0.17210695147514343
template_14,template_05,0.16622112691402435
template_14,template_06,0.14915990829467773
template_14,template_07,0.14607852697372437
template_14,template_08,0.15299682319164276
template_14,template_09,0.14546822011470795
template_14,template_10,0.1639106571674347
template_14,template_11,0.19770096242427826
template_14,template_12,0.24316489696502686
template_14,template_13,0.34389588236808777
template_14,template_14,0.8060550689697266
template_15,template_01,0.15350596606731415
template_15,template_02,0.16501571238040924
template_15,template_03,0.17573602497577667
template_15,template_04,0.1579056829214096
template_15,template_05,0.15165729820728302
template_15,template_06,0.1537647694349289
template_15,template_07,0.15973667800426483
template_15,template_08,0.14536188542842865
template_15,template_09,0.1503787487745285
template_15,template_10,0.15350604057312012
template_15,template_11,0.16694407165050507
template_15,template_12,0.16460806131362915
template_15,template_13,0.30442187190055847
template_15,template_14,0.3409120738506317
template_15,template_15,0.784663200378418
template_16,template_01,0.1389431208372116
template_16,template_02,0.12789611518383026
template_16,template_03,0.12858858704566956
template_16,template_04,0.13454999029636383
template_16,template_05,0.14322690665721893
template_16,template_06,0.13727153837680817
template_16,template_07,0.13851551711559296
template_16,template_08,0.12241313606500626
template_16,template_09,0.15335096418857574
template_16,template_10,0.14094436168670654
template_16,template_11,0.14381510019302368
template_16,template_12,0.17364151775836945
template_16,template_13,0.21389140188694
template_16,template_14,0.35301634669303894
template_16,template_15,0.3889563977718353
template_16,template_16,0.8293623924255371
template_17,template_01,0.12681545317173004
template_17,template_02,0.14424161612987518
template_17,template_03,0.13129058480262756
template_17,template_04,0.12918981909751892
template_17,template_05,0.1353263407945633
template_17,template_06,0.1307838410139084
template_17,template_07,0.14450420439243317
template_17,template_08,0.1483132690191269
template_17,template_09,0.13471779227256775
template_17,template_10,0.13024047017097473
template_17,template_11,0.1388469785451889
template_17,template_12,0.1561550796031952
template_17,template_13,0.28247833251953125
template_17,template_14,0.3346896171569824
template_17,template_15,0.3603728711605072
template_17,template_16,0.3971017301082611
template_17,template_17,0.8308738470077515
template_18,template_01,0.13102969527244568
template_18,template_02,0.1214805394411087
template_18,template_03,0.14044532179832458
template_18,template_04,0.13509410619735718
template_18,template_05,0.1342495083808899
template_18,template_06,0.12602564692497253
template_18,template_07,0.12921516597270966
template_18,template_08,0.13764773309230804
template_18,template_09,0.12628653645515442
template_18,template_10,0.11888755112886429
template_18,template_11,0.12984682619571686
template_18,template_12,0.13400837779045105
template_18,template_13,0.19237616658210754
template_18,template_14,0.20418666303157806
template_18,template_15,0.2606119215488434
template_18,template_16,0.2988091707229614
template_18,template_17,0.31359782814979553
template_18,template_18,0.8171384930610657
template_19,template_01,0.13090838491916656
template_19,template_02,0.13304245471954346
template_19,template_03,0.14372587203979492
template_19,template_04,0.13604111969470978
template_19,template_05,0.14789548516273499
template_19,template_06,0.14205990731716156
template_19,template_07,0.17027945816516876
template_19,template_08,0.14191052317619324
template_19,template_09,0.1453448385000229
template_19,template_10,0.12899188697338104
template_19,template_11,0.14001019299030304
template_19,template_12,0.15124745666980743
template_19,template_13,0.18073934316635132
template_19,template_14,0.1828932762145996
template_19,template_15,0.1851683408021927
template_19,template_16,0.19780117273330688
template_19,template_17,0.2628161907196045
template_19,template_18,0.3146801292896271
template_19,template_19,0.8874323964118958
template_20,template_01,0.16735702753067017
template_20,template_02,0.15637381374835968
template_20,template_03,0.16438578069210052
template_20,template_04,0.16808158159255981
template_20,template_05,0.1813429445028305
template_20,template_06,0.16456425189971924
template_20,template_07,0.18199653923511505
template_20,template_08,0.1606811285018921
template_20,template_09,0.19022509455680847
template_20,template_10,0.17409007251262665
template_20,template_11,0.15843690931797028
template_20,template_12,0.1647547334432602
template_20,template_13,0.16511446237564087
