epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,365.57,0.99655,0.51328,0.8166,0.95501,0.9159,0.96641,0.69111,0.90361,0.49786,0.81351,0.000520792,0.000520792,0.000520792
43,374.301,0.96594,0.50261,0.81848,0.95833,0.92101,0.96603,0.69987,0.87892,0.48648,0.81165,0.000516079,0.000516079,0.000516079
44,383.006,0.94775,0.49489,0.81488,0.95986,0.9098,0.96762,0.71204,0.86293,0.48198,0.81206,0.000511367,0.000511367,0.000511367
45,391.657,0.95266,0.48375,0.81228,0.97045,0.91693,0.96408,0.69956,0.86965,0.48302,0.81538,0.000506654,0.000506654,0.000506654
46,400.333,0.95,0.48472,0.81757,0.96803,0.91543,0.967,0.67751,1.00561,0.50145,0.83086,0.000501942,0.000501942,0.000501942
47,409.084,0.93054,0.4813,0.81584,0.9234,0.91779,0.96443,0.68843,0.91061,0.48434,0.81894,0.00049723,0.00049723,0.00049723
48,417.752,0.92388,0.46822,0.81432,0.95386,0.9088,0.96051,0.70464,0.86656,0.48462,0.81355,0.000492517,0.000492517,0.000492517
49,426.462,0.96127,0.48634,0.8149,0.95002,0.90716,0.96471,0.70453,0.86902,0.4795,0.81396,0.000487805,0.000487805,0.000487805
50,435.146,0.91741,0.47177,0.8072,0.97559,0.92796,0.96791,0.72167,0.84348,0.4628,0.80914,0.000483092,0.000483092,0.000483092
51,443.963,0.91688,0.46844,0.81418,0.96209,0.92191,0.97158,0.71663,0.85343,0.48355,0.81083,0.00047838,0.00047838,0.00047838
52,452.664,0.91555,0.46987,0.81332,0.93808,0.89696,0.96235,0.70472,0.88495,0.50338,0.81208,0.000473668,0.000473668,0.000473668
53,461.368,0.93935,0.48103,0.80894,0.9615,0.92494,0.96952,0.69232,0.89563,0.48942,0.8156,0.000468955,0.000468955,0.000468955
54,470.059,0.93034,0.48066,0.81165,0.91018,0.93051,0.96805,0.70697,0.84936,0.5071,0.80986,0.000464243,0.000464243,0.000464243
55,478.8,0.91709,0.47344,0.81235,0.94756,0.94915,0.97099,0.71326,0.84621,0.47076,0.81232,0.00045953,0.00045953,0.00045953
56,487.493,0.89207,0.46398,0.81129,0.95733,0.91558,0.96641,0.70664,0.84148,0.47458,0.815,0.000454818,0.000454818,0.000454818
57,496.227,0.88602,0.46642,0.80681,0.95021,0.93156,0.97031,0.70948,0.85894,0.47117,0.8112,0.000450106,0.000450106,0.000450106
58,504.926,0.88226,0.45487,0.8104,0.95241,0.92856,0.9725,0.71681,0.84268,0.46907,0.81134,0.000445393,0.000445393,0.000445393
59,513.638,0.89536,0.457,0.80891,0.96051,0.91994,0.97081,0.68306,0.92317,0.48635,0.81994,0.000440681,0.000440681,0.000440681
60,522.33,0.93939,0.47106,0.81884,0.95996,0.91084,0.96822,0.70575,0.85936,0.47578,0.81228,0.000435968,0.000435968,0.000435968
61,531.055,0.88879,0.45013,0.80683,0.96289,0.91779,0.96878,0.7154,0.84409,0.46456,0.80995,0.000431256,0.000431256,0.000431256
62,539.725,0.86578,0.45082,0.80679,0.9326,0.9393,0.96986,0.71145,0.85876,0.47352,0.80944,0.000426544,0.000426544,0.000426544
63,548.444,0.88676,0.45638,0.81141,0.91764,0.93904,0.97011,0.72013,0.86065,0.47358,0.80971,0.000421831,0.000421831,0.000421831
64,557.133,0.88565,0.44868,0.80687,0.96516,0.90211,0.9745,0.71683,0.83761,0.46507,0.8079,0.000417119,0.000417119,0.000417119
65,565.839,0.86681,0.44147,0.80907,0.95812,0.92647,0.9689,0.71152,0.848,0.47855,0.80646,0.000412406,0.000412406,0.000412406
66,574.536,0.88589,0.45001,0.80923,0.95865,0.91869,0.9701,0.7176,0.86066,0.46968,0.80681,0.000407694,0.000407694,0.000407694
67,583.261,0.85372,0.44093,0.80632,0.96369,0.93053,0.97063,0.71893,0.81112,0.44143,0.80298,0.000402982,0.000402982,0.000402982
68,591.932,0.86011,0.44234,0.80639,0.94445,0.94293,0.97329,0.72733,0.82644,0.45149,0.80769,0.000398269,0.000398269,0.000398269
69,600.766,0.84912,0.43466,0.8113,0.96906,0.92406,0.97282,0.71687,0.84882,0.44985,0.8089,0.000393557,0.000393557,0.000393557
70,609.502,0.84999,0.43193,0.80258,0.9485,0.93435,0.9741,0.71374,0.83945,0.45072,0.81073,0.000388844,0.000388844,0.000388844
71,618.238,0.85705,0.43726,0.8115,0.96918,0.91459,0.97496,0.73002,0.81666,0.45239,0.80821,0.000384132,0.000384132,0.000384132
72,627.059,0.84995,0.43625,0.80777,0.93169,0.94645,0.97741,0.72827,0.8378,0.45506,0.80724,0.00037942,0.00037942,0.00037942
73,635.816,0.86465,0.44287,0.80807,0.97592,0.93437,0.97663,0.72095,0.82887,0.44745,0.80722,0.000374707,0.000374707,0.000374707
74,644.521,0.87577,0.43786,0.80551,0.96881,0.91722,0.97418,0.7186,0.81993,0.44448,0.8093,0.000369995,0.000369995,0.000369995
75,653.266,0.84558,0.43319,0.80835,0.96341,0.93965,0.97384,0.71688,0.83066,0.45478,0.80761,0.000365282,0.000365282,0.000365282
76,662.008,0.84294,0.42859,0.8007,0.96907,0.93619,0.97709,0.72839,0.81492,0.43358,0.80641,0.00036057,0.00036057,0.00036057
77,670.723,0.84608,0.42733,0.80606,0.9674,0.93579,0.97499,0.72117,0.81209,0.43438,0.80421,0.000355858,0.000355858,0.000355858
78,679.401,0.84133,0.42775,0.80129,0.9654,0.94201,0.97607,0.72747,0.80672,0.42804,0.80623,0.000351145,0.000351145,0.000351145
79,688.101,0.82228,0.41877,0.79937,0.95558,0.95671,0.97648,0.72332,0.82209,0.44185,0.80706,0.000346433,0.000346433,0.000346433
80,696.804,0.81975,0.41936,0.80446,0.97492,0.93307,0.97598,0.72205,0.82385,0.44631,0.80811,0.00034172,0.00034172,0.00034172
81,705.533,0.82803,0.41996,0.80505,0.97243,0.94626,0.97177,0.72179,0.81789,0.44597,0.80849,0.000337008,0.000337008,0.000337008
82,714.242,0.82762,0.42201,0.80347,0.95112,0.94408,0.97197,0.71536,0.84688,0.45041,0.81241,0.000332296,0.000332296,0.000332296
83,722.971,0.83773,0.42358,0.80543,0.96807,0.94956,0.97483,0.7212,0.83499,0.43867,0.80918,0.000327583,0.000327583,0.000327583
